Epoch,loss,mse,val_loss,val_mse
0,0.4746,0.14628,0.14073,0.03122
1,0.14879,0.0236,0.16451,0.02636
2,0.07367,0.00898,0.09934,0.01508
3,0.04829,0.006,0.06933,0.01102
4,0.03569,0.00488,0.05217,0.00944
5,0.03051,0.0048,0.04797,0.00916
6,0.02527,0.00425,0.03535,0.00691
7,0.02119,0.00379,0.03601,0.00749
8,0.01956,0.00379,0.02624,0.00567
9,0.01789,0.00367,0.02859,0.00618
10,0.01559,0.00326,0.02419,0.00512
11,0.01489,0.00329,0.02162,0.00476
12,0.01342,0.00305,0.01667,0.00394
13,0.01421,0.00333,0.05093,0.00836
14,0.01311,0.00309,0.01433,0.00353
15,0.01188,0.00288,0.01439,0.00358
16,0.01111,0.00272,0.01657,0.00427
17,0.01066,0.00267,0.01398,0.00351
18,0.01011,0.00255,0.01532,0.00384
19,0.0098,0.00251,0.01387,0.00351
20,0.00938,0.00242,0.01321,0.00345
21,0.00905,0.00235,0.01199,0.00324
22,0.00849,0.00222,0.01421,0.0039
23,0.00796,0.0021,0.0146,0.00366
24,0.00743,0.00197,0.01732,0.00407
25,0.00729,0.00194,0.01352,0.00343
26,0.00707,0.0019,0.01225,0.00317
27,0.00716,0.00194,0.01332,0.00358
28,0.00673,0.00181,0.0124,0.00316
29,0.00669,0.00183,0.01263,0.00323
30,0.00666,0.00183,0.01506,0.00362
31,0.00677,0.00186,0.01675,0.00383
32,0.00677,0.00187,0.01253,0.00319
33,0.00624,0.00172,0.01236,0.00325
34,0.0062,0.00174,0.01219,0.00313
35,0.0056,0.00156,0.01252,0.0032
36,0.00526,0.00147,0.01183,0.00299
37,0.00506,0.00142,0.01183,0.00303
38,0.005,0.0014,0.01295,0.00324
39,0.00603,0.00168,0.01307,0.00332
40,0.00497,0.0014,0.01311,0.0031
41,0.00481,0.00136,0.0167,0.00363
42,0.00454,0.00129,0.01238,0.00311
43,0.00446,0.00126,0.0134,0.00324
44,0.00429,0.00122,0.01372,0.00319
45,0.00404,0.00115,0.01659,0.00355
46,0.00406,0.00116,0.01576,0.00349
47,0.00391,0.00111,0.01456,0.00331
48,0.00404,0.00115,0.01382,0.00327
49,0.00383,0.0011,0.01281,0.00309
50,0.00367,0.00105,0.01299,0.00313
51,0.0033,0.00094,0.01512,0.00327
52,0.00332,0.00095,0.01599,0.00343
53,0.0034,0.00097,0.0157,0.00344
54,0.0035,0.00101,0.01611,0.00334
55,0.00319,0.00091,0.01538,0.00343
56,0.00308,0.00088,0.0152,0.00329
57,0.0029,0.00082,0.01512,0.00325
58,0.00279,0.00079,0.01551,0.00336
59,0.00392,0.00112,0.02164,0.00424
60,0.00384,0.00111,0.01842,0.0037
61,0.00717,0.00198,0.0898,0.01261
62,0.00556,0.00162,0.01646,0.00429
63,0.00393,0.00114,0.01468,0.00331
64,0.0031,0.0009,0.01418,0.0033
65,0.00276,0.0008,0.0144,0.00337
66,0.00266,0.00077,0.01501,0.00333
