Epoch,loss,mse,val_loss,val_mse
0,0.21834,0.04451,12.34118,0.90315
1,0.07754,0.00651,0.14587,0.01939
2,0.04625,0.00285,0.06452,0.00524
3,0.03392,0.002,0.04905,0.00431
4,0.0272,0.00162,0.0418,0.00394
5,0.02358,0.00148,0.03733,0.00357
6,0.02068,0.00133,0.03061,0.00289
7,0.01883,0.00122,0.03153,0.00304
8,0.01724,0.00111,0.02953,0.00287
9,0.01637,0.00107,0.02563,0.00231
10,0.01535,0.00098,0.02181,0.00194
11,0.01449,0.00087,0.01771,0.00133
12,0.01389,0.00083,0.01692,0.00128
13,0.01322,0.00073,0.015,0.00098
14,0.01298,0.00073,0.01428,0.00084
15,0.01241,0.00065,0.01393,0.0008
16,0.01203,0.00059,0.01337,0.00073
17,0.01188,0.00058,0.01307,0.00067
18,0.01167,0.00056,0.01301,0.00066
19,0.0113,0.0005,0.01278,0.00061
20,0.01115,0.00048,0.01248,0.00058
21,0.0108,0.00042,0.01209,0.0005
22,0.01073,0.00041,0.01224,0.00054
23,0.01052,0.00037,0.01198,0.00048
24,0.01039,0.00035,0.01191,0.00048
25,0.01022,0.00032,0.01168,0.00045
26,0.01009,0.0003,0.0116,0.00042
27,0.01003,0.00029,0.01176,0.00047
28,0.00993,0.00028,0.01142,0.00039
29,0.00992,0.00028,0.01139,0.0004
30,0.00979,0.00025,0.01131,0.00037
31,0.00974,0.00025,0.01123,0.00037
32,0.00965,0.00023,0.01115,0.00035
33,0.00956,0.00021,0.01104,0.00033
34,0.00958,0.00022,0.0112,0.00034
35,0.00954,0.00022,0.01107,0.00035
36,0.00949,0.00021,0.01097,0.00031
37,0.00943,0.00019,0.01109,0.00036
38,0.00949,0.00021,0.01102,0.00033
39,0.00939,0.00019,0.01088,0.00031
40,0.00929,0.00017,0.01088,0.0003
41,0.00924,0.00016,0.01083,0.00029
42,0.00925,0.00017,0.01094,0.00034
43,0.0092,0.00016,0.01083,0.00028
44,0.0092,0.00016,0.01094,0.00032
45,0.00915,0.00015,0.01078,0.00028
46,0.00913,0.00014,0.01078,0.00029
47,0.00913,0.00015,0.01088,0.0003
48,0.0091,0.00014,0.01078,0.00028
49,0.00911,0.00015,0.01081,0.00028
50,0.00909,0.00014,0.01083,0.00031
51,0.00909,0.00015,0.01084,0.00031
52,0.00911,0.00015,0.01075,0.00028
53,0.00906,0.00014,0.01071,0.00027
54,0.00901,0.00013,0.0107,0.00026
55,0.009,0.00013,0.01061,0.00026
56,0.00896,0.00012,0.01062,0.00025
57,0.00895,0.00012,0.01068,0.00027
58,0.009,0.00013,0.01083,0.00028
59,0.00901,0.00013,0.01065,0.00026
60,0.00895,0.00012,0.01071,0.00028
61,0.00893,0.00012,0.01057,0.00026
62,0.00893,0.00012,0.01062,0.00027
63,0.0089,0.00011,0.01051,0.00024
64,0.00887,0.00011,0.01058,0.00025
65,0.00886,0.00011,0.01053,0.00024
66,0.00885,0.0001,0.01069,0.00029
67,0.00884,0.0001,0.01063,0.00024
68,0.00882,0.0001,0.01056,0.00024
69,0.0088,9e-05,0.01051,0.00024
70,0.0088,9e-05,0.01054,0.00025
71,0.00881,0.0001,0.01054,0.00025
72,0.00883,0.0001,0.01055,0.00024
73,0.00884,0.0001,0.01067,0.00026
74,0.00887,0.00012,0.01061,0.00026
75,0.00884,0.00011,0.01049,0.00024
76,0.00885,0.00011,0.01061,0.00025
77,0.00882,0.0001,0.01061,0.00026
78,0.00881,0.0001,0.01054,0.00024
79,0.00879,0.0001,0.01061,0.00024
80,0.00879,9e-05,0.01058,0.00024
81,0.0088,0.0001,0.01071,0.00026
82,0.00883,0.00011,0.01059,0.00023
83,0.00879,0.0001,0.01056,0.00024
84,0.00878,9e-05,0.01082,0.00027
85,0.00876,9e-05,0.01054,0.00024
86,0.00874,9e-05,0.01057,0.00023
