Epoch,loss,mse,val_loss,val_mse
0,0.29445,0.07185,0.12739,0.0275
1,0.11169,0.0141,0.1652,0.02588
2,0.06204,0.00656,0.09546,0.01264
3,0.03957,0.00443,0.0664,0.00955
4,0.02879,0.00377,0.04948,0.00799
5,0.02223,0.00325,0.04701,0.00829
6,0.01897,0.00314,0.04123,0.00746
7,0.01611,0.00283,0.03681,0.00691
8,0.01397,0.00261,0.03226,0.00623
9,0.01326,0.00268,0.02288,0.00468
10,0.01241,0.00261,0.02303,0.00483
11,0.01056,0.00224,0.02275,0.00474
12,0.01022,0.00227,0.01458,0.00324
13,0.00979,0.00222,0.01519,0.00347
14,0.00976,0.00233,0.01305,0.00315
15,0.00868,0.00207,0.00988,0.00248
16,0.00823,0.002,0.01049,0.00255
17,0.00754,0.00184,0.01009,0.00245
18,0.007,0.00172,0.00951,0.00238
19,0.00675,0.00169,0.01078,0.00278
20,0.00609,0.00152,0.00861,0.00226
21,0.00576,0.00146,0.00819,0.00215
22,0.00565,0.00144,0.01059,0.00296
23,0.00534,0.00137,0.00948,0.00237
24,0.00569,0.00149,0.00817,0.00218
25,0.0052,0.00136,0.00831,0.00218
26,0.0048,0.00127,0.00869,0.00223
27,0.0043,0.00112,0.00852,0.00219
28,0.00402,0.00105,0.00888,0.00227
29,0.00412,0.00109,0.00898,0.00227
30,0.00425,0.00114,0.0092,0.0023
31,0.00417,0.00112,0.00892,0.00227
32,0.00391,0.00105,0.00874,0.00221
33,0.0036,0.00096,0.00865,0.00222
34,0.00317,0.00084,0.00813,0.00208
35,0.00307,0.00083,0.00906,0.00222
36,0.00317,0.00086,0.00855,0.00214
37,0.00303,0.00082,0.00913,0.00228
38,0.00289,0.00079,0.00795,0.00196
39,0.00278,0.00075,0.0088,0.00218
40,0.00266,0.00072,0.0093,0.00224
41,0.0025,0.00067,0.00905,0.00217
42,0.00235,0.00063,0.00881,0.00214
43,0.00229,0.00062,0.0091,0.00214
44,0.00238,0.00065,0.00947,0.00223
45,0.00236,0.00065,0.00944,0.00218
46,0.00221,0.0006,0.00905,0.00215
47,0.00292,0.00079,0.01474,0.00325
48,0.0055,0.00155,0.01076,0.00273
49,0.00346,0.00098,0.00911,0.00227
50,0.00269,0.00076,0.00847,0.00212
51,0.00222,0.00062,0.00919,0.00219
52,0.00197,0.00054,0.0088,0.00208
53,0.00188,0.00052,0.00904,0.00211
54,0.00207,0.00058,0.00949,0.00221
55,0.00178,0.00049,0.0098,0.00216
56,0.00167,0.00046,0.01058,0.00233
57,0.00169,0.00047,0.00942,0.0021
58,0.00157,0.00043,0.01006,0.00221
59,0.00169,0.00047,0.01052,0.0023
60,0.00193,0.00055,0.01091,0.0024
61,0.00157,0.00044,0.00998,0.00217
62,0.00157,0.00044,0.01043,0.00224
63,0.00137,0.00037,0.01034,0.00223
64,0.00139,0.00038,0.01077,0.00223
65,0.00124,0.00034,0.01053,0.00223
66,0.00132,0.00036,0.01291,0.00246
67,0.00143,0.0004,0.01113,0.00223
68,0.00142,0.0004,0.01088,0.0022
