Epoch,loss,mse,val_loss,val_mse
0,0.26852,0.06264,0.10691,0.02213
1,0.09221,0.00856,0.15382,0.0201
2,0.05425,0.00337,0.07889,0.00632
3,0.03714,0.00189,0.04787,0.00326
4,0.02807,0.00134,0.03576,0.00253
5,0.02286,0.00113,0.02902,0.0022
6,0.01896,0.00091,0.02526,0.00201
7,0.01648,0.00084,0.02136,0.00175
8,0.01472,0.00079,0.02094,0.00182
9,0.01315,0.0007,0.0174,0.00151
10,0.01223,0.0007,0.01284,0.001
11,0.01116,0.00061,0.01443,0.00125
12,0.01041,0.00056,0.01048,0.0007
13,0.01012,0.0006,0.01027,0.00072
14,0.00944,0.00052,0.00954,0.00062
15,0.00896,0.00048,0.0093,0.00062
16,0.00871,0.00048,0.00849,0.00055
17,0.00831,0.00044,0.00808,0.0005
18,0.00808,0.00043,0.00833,0.00058
19,0.00802,0.00045,0.00787,0.00049
20,0.00769,0.0004,0.00778,0.00048
21,0.0075,0.00038,0.00751,0.00046
22,0.00727,0.00035,0.00744,0.00046
23,0.00716,0.00035,0.00728,0.00045
24,0.00697,0.00032,0.00742,0.00046
25,0.00735,0.00042,0.02321,0.00138
26,0.00744,0.00045,0.00738,0.00053
27,0.00698,0.00036,0.00703,0.00048
28,0.00698,0.00037,0.00712,0.00046
29,0.00666,0.0003,0.00688,0.00042
30,0.00647,0.00027,0.00692,0.00042
31,0.00635,0.00025,0.00677,0.00042
32,0.00638,0.00026,0.00674,0.00041
33,0.00626,0.00024,0.00668,0.00038
34,0.00615,0.00022,0.00663,0.00038
35,0.00612,0.00022,0.00657,0.00037
36,0.0061,0.00022,0.00675,0.0004
37,0.00604,0.00021,0.00655,0.00038
38,0.00596,0.00019,0.00651,0.00038
39,0.00593,0.00019,0.00653,0.0004
40,0.00587,0.00018,0.00655,0.00039
41,0.00582,0.00017,0.0065,0.00036
42,0.00583,0.00018,0.00688,0.0004
43,0.0058,0.00017,0.00649,0.00038
44,0.00574,0.00016,0.00652,0.00037
45,0.00569,0.00015,0.00651,0.00037
46,0.00564,0.00014,0.00648,0.00035
47,0.00561,0.00014,0.00641,0.00035
48,0.00568,0.00016,0.00662,0.00038
49,0.00562,0.00015,0.00641,0.00035
50,0.00565,0.00015,0.00645,0.00039
51,0.00559,0.00014,0.00656,0.00036
52,0.00555,0.00013,0.00649,0.00035
53,0.00552,0.00013,0.0064,0.00038
54,0.00551,0.00013,0.00639,0.00035
55,0.00548,0.00012,0.00634,0.00035
56,0.00544,0.00011,0.0064,0.00035
57,0.00543,0.00011,0.00643,0.00035
58,0.00542,0.00011,0.00638,0.00034
59,0.00545,0.00012,0.00644,0.00042
60,0.00551,0.00013,0.00666,0.00037
61,0.00544,0.00012,0.0064,0.00035
62,0.00543,0.00012,0.0064,0.00036
63,0.00541,0.00011,0.00638,0.00035
64,0.00538,0.00011,0.00674,0.00035
65,0.00535,0.0001,0.00633,0.00036
66,0.00534,0.0001,0.00644,0.00034
67,0.00532,0.0001,0.0064,0.00034
68,0.00535,0.0001,0.00632,0.00034
69,0.0053,9e-05,0.00645,0.00034
70,0.00528,9e-05,0.00634,0.00037
71,0.00528,9e-05,0.00673,0.00035
72,0.0053,0.0001,0.00656,0.00035
73,0.00531,0.0001,0.00651,0.00035
74,0.00537,0.00011,0.0082,0.00051
75,0.00544,0.00013,0.00691,0.00037
76,0.00534,0.00011,0.00674,0.00036
77,0.00603,0.00027,0.00807,0.0007
78,0.00769,0.00066,0.01529,0.00114
79,0.00671,0.00044,0.00772,0.00057
80,0.0061,0.00029,0.00647,0.00042
81,0.0059,0.00024,0.00626,0.00038
82,0.00567,0.00019,0.0062,0.00036
83,0.00551,0.00015,0.00617,0.00037
84,0.00542,0.00013,0.00627,0.00035
85,0.00539,0.00012,0.00617,0.00035
86,0.00537,0.00012,0.00627,0.00035
87,0.00533,0.00011,0.00627,0.00035
88,0.00528,0.0001,0.00625,0.00034
89,0.00527,0.0001,0.00624,0.00035
90,0.00525,9e-05,0.00622,0.00034
91,0.00524,9e-05,0.00624,0.00034
92,0.00523,9e-05,0.00656,0.00036
93,0.00523,9e-05,0.0064,0.00034
94,0.00523,9e-05,0.0064,0.00034
95,0.0052,8e-05,0.00646,0.00035
96,0.00519,8e-05,0.00637,0.00034
97,0.00518,8e-05,0.00635,0.00034
98,0.00519,8e-05,0.00659,0.00034
99,0.0052,8e-05,0.00648,0.00035
100,0.00518,8e-05,0.00643,0.00034
101,0.00516,7e-05,0.00635,0.00034
102,0.00516,7e-05,0.00643,0.00034
103,0.00516,7e-05,0.00652,0.00034
104,0.00515,7e-05,0.00646,0.00034
105,0.00514,7e-05,0.00663,0.00035
106,0.00515,7e-05,0.00633,0.00034
107,0.00513,7e-05,0.0064,0.00035
108,0.00512,7e-05,0.00641,0.00034
109,0.00512,7e-05,0.00643,0.00033
110,0.00513,7e-05,0.00636,0.00034
111,0.00512,7e-05,0.0064,0.00036
112,0.00511,6e-05,0.00645,0.00035
113,0.00512,7e-05,0.00666,0.00034
