Epoch,loss,mse,val_loss,val_mse
0,0.48367,0.14061,9.53015,0.87109
1,0.22798,0.04052,0.58277,0.1872
2,0.14535,0.01784,0.38165,0.1069
3,0.09765,0.00845,0.156,0.02106
4,0.06943,0.00449,0.09298,0.00846
5,0.05339,0.00285,0.0661,0.00484
6,0.04261,0.00193,0.05373,0.00374
7,0.03615,0.00154,0.04652,0.00325
8,0.03106,0.00121,0.04231,0.00293
9,0.02754,0.00104,0.0376,0.00273
10,0.0248,0.00092,0.03519,0.00264
11,0.02264,0.00084,0.03172,0.00246
12,0.0207,0.00072,0.03144,0.00243
13,0.01949,0.00071,0.02726,0.00197
14,0.01835,0.00066,0.02521,0.00183
15,0.01727,0.00061,0.02218,0.00143
16,0.01661,0.0006,0.0215,0.00143
17,0.01601,0.00058,0.02029,0.00123
18,0.01538,0.00055,0.01936,0.00119
19,0.01497,0.00055,0.01858,0.0011
20,0.01448,0.00052,0.01693,0.00089
21,0.01399,0.00049,0.0162,0.00082
22,0.01374,0.00049,0.01502,0.00072
23,0.01344,0.00048,0.01519,0.00076
24,0.0132,0.00048,0.01529,0.00077
25,0.01293,0.00046,0.01424,0.00064
26,0.01263,0.00043,0.01389,0.00064
27,0.01241,0.00041,0.01376,0.00062
28,0.01211,0.00038,0.0138,0.00066
29,0.0119,0.00036,0.0131,0.00056
30,0.01174,0.00035,0.01336,0.0006
31,0.01166,0.00036,0.0137,0.00065
32,0.01158,0.00036,0.01332,0.00062
33,0.01137,0.00033,0.01314,0.00057
34,0.01127,0.00033,0.0131,0.00059
35,0.0112,0.00032,0.01286,0.00058
36,0.01123,0.00034,0.01724,0.001
37,0.01122,0.00035,0.0172,0.001
38,0.01116,0.00035,0.01295,0.00056
39,0.01099,0.00033,0.01267,0.00055
40,0.01077,0.00029,0.01262,0.00055
41,0.0107,0.00029,0.01255,0.00054
42,0.01058,0.00028,0.01244,0.00053
43,0.0105,0.00027,0.01225,0.00052
44,0.01042,0.00026,0.01278,0.00058
45,0.01039,0.00026,0.01234,0.00052
46,0.01031,0.00025,0.0129,0.00058
47,0.01027,0.00025,0.01229,0.00058
48,0.0102,0.00025,0.0122,0.00051
49,0.01006,0.00022,0.01206,0.00051
50,0.01002,0.00022,0.01249,0.00055
51,0.01002,0.00022,0.0122,0.00052
52,0.01001,0.00022,0.01239,0.00053
53,0.00989,0.00021,0.0121,0.00053
54,0.00989,0.00021,0.01272,0.00057
55,0.00985,0.00021,0.01231,0.00053
56,0.00978,0.00019,0.012,0.00056
57,0.00976,0.0002,0.01191,0.0005
58,0.00969,0.00018,0.01254,0.00056
59,0.00967,0.00018,0.01197,0.00053
60,0.00968,0.00019,0.01237,0.00056
61,0.00965,0.00018,0.01215,0.00053
62,0.0096,0.00017,0.01213,0.00053
63,0.00955,0.00017,0.01229,0.00053
64,0.00956,0.00017,0.01224,0.00052
65,0.00955,0.00017,0.01216,0.00054
66,0.00949,0.00016,0.01222,0.00055
67,0.00949,0.00017,0.0119,0.00052
68,0.00948,0.00016,0.01202,0.00051
69,0.00943,0.00016,0.012,0.00052
70,0.00943,0.00016,0.01195,0.00053
71,0.00939,0.00015,0.01203,0.00052
72,0.00936,0.00015,0.01206,0.00053
73,0.00933,0.00014,0.01184,0.00051
74,0.00929,0.00014,0.01202,0.00052
75,0.00924,0.00013,0.01189,0.00051
76,0.00922,0.00013,0.01183,0.00052
77,0.00924,0.00013,0.01198,0.00051
78,0.00918,0.00012,0.01188,0.00051
79,0.00917,0.00012,0.01182,0.00052
80,0.00915,0.00012,0.01222,0.00053
81,0.00912,0.00011,0.01212,0.00053
82,0.00912,0.00011,0.01194,0.00051
83,0.0091,0.00011,0.012,0.00052
84,0.00911,0.00011,0.01262,0.00057
85,0.00909,0.00011,0.012,0.00053
86,0.00907,0.00011,0.0119,0.00052
87,0.00905,0.00011,0.01194,0.00053
88,0.00906,0.00011,0.01253,0.00055
89,0.00904,0.00011,0.01375,0.00083
90,0.00945,0.00019,0.01495,0.00085
91,0.00938,0.00018,0.01242,0.00061
92,0.00922,0.00015,0.01219,0.00055
93,0.00913,0.00013,0.0119,0.00056
94,0.00909,0.00012,0.01216,0.00054
95,0.00906,0.00012,0.01191,0.00054
96,0.00905,0.00012,0.01192,0.00055
97,0.00904,0.00011,0.01197,0.00053
98,0.00904,0.00011,0.012,0.00058
99,0.00903,0.00011,0.01209,0.00054
100,0.00901,0.00011,0.01188,0.00054
101,0.00898,0.0001,0.01192,0.00054
102,0.00895,0.0001,0.01215,0.00054
103,0.00892,9e-05,0.0121,0.00052
104,0.00891,9e-05,0.01216,0.00053
105,0.0089,9e-05,0.01214,0.00053
106,0.00891,9e-05,0.01205,0.00053
107,0.0089,9e-05,0.012,0.00052
108,0.00888,9e-05,0.01213,0.00053
109,0.00885,8e-05,0.01192,0.00055
110,0.00885,8e-05,0.01211,0.00053
111,0.00884,8e-05,0.01211,0.00054
112,0.00882,8e-05,0.01188,0.00052
113,0.00882,8e-05,0.01196,0.00053
114,0.00881,8e-05,0.01196,0.00055
115,0.0088,8e-05,0.0122,0.00053
116,0.00883,8e-05,0.01264,0.00056
117,0.00881,8e-05,0.01186,0.00058
118,0.0088,8e-05,0.01202,0.00054
119,0.0088,8e-05,0.01203,0.00055
120,0.0088,8e-05,0.01201,0.00057
121,0.00878,8e-05,0.01206,0.00055
122,0.00877,7e-05,0.01192,0.00054
123,0.00879,8e-05,0.01197,0.00053
124,0.00877,7e-05,0.01204,0.00053
125,0.00878,8e-05,0.01202,0.00059
126,0.00878,8e-05,0.012,0.00062
127,0.00877,8e-05,0.01198,0.00054
128,0.00875,7e-05,0.01188,0.00052
129,0.00874,7e-05,0.01233,0.00053
