Epoch,loss,mse,val_loss,val_mse
0,0.29619,0.07253,0.31267,0.07726
1,0.10343,0.01364,0.17955,0.03055
2,0.05691,0.00717,0.1005,0.01562
3,0.03895,0.00555,0.07301,0.01331
4,0.02887,0.00463,0.06482,0.01243
5,0.02529,0.00462,0.05554,0.01098
6,0.02189,0.00435,0.04895,0.01029
7,0.0194,0.00409,0.04523,0.00966
8,0.01719,0.00378,0.05377,0.0109
9,0.0162,0.00369,0.03004,0.00659
10,0.01519,0.0036,0.02356,0.0054
11,0.01421,0.00347,0.01917,0.00476
12,0.01329,0.00331,0.01734,0.00437
13,0.01235,0.00311,0.01672,0.00436
14,0.01212,0.00311,0.01478,0.00403
15,0.01156,0.003,0.01445,0.00388
16,0.01096,0.00289,0.01325,0.00366
17,0.01024,0.00271,0.01377,0.00378
18,0.01026,0.00275,0.01312,0.00375
19,0.01097,0.00299,0.02241,0.00519
20,0.01028,0.00281,0.01467,0.00387
21,0.00941,0.00257,0.01248,0.00348
22,0.00854,0.00235,0.0133,0.00363
23,0.00932,0.0026,0.0143,0.0042
24,0.00931,0.00259,0.01341,0.00368
25,0.00858,0.00241,0.0125,0.00347
26,0.00823,0.0023,0.01405,0.00403
27,0.00786,0.00223,0.01257,0.00357
28,0.0078,0.00221,0.01433,0.00375
29,0.00742,0.00211,0.01263,0.00353
30,0.00719,0.00204,0.01258,0.00358
31,0.00699,0.00199,0.01397,0.00396
32,0.00764,0.00219,0.01475,0.00377
33,0.00726,0.00208,0.01303,0.00358
34,0.00737,0.00212,0.01486,0.00378
35,0.00696,0.00199,0.01232,0.00344
36,0.00644,0.00187,0.01272,0.00338
37,0.00624,0.00181,0.01398,0.00385
38,0.00615,0.00178,0.01321,0.00343
39,0.00573,0.00166,0.01484,0.00368
40,0.00557,0.00162,0.01387,0.00385
41,0.00543,0.00158,0.01351,0.00386
42,0.00549,0.0016,0.01323,0.0035
43,0.00504,0.00147,0.01331,0.00348
44,0.00503,0.00147,0.01472,0.0036
45,0.00473,0.00138,0.01406,0.00356
46,0.00512,0.00149,0.01406,0.00356
47,0.00445,0.00129,0.01359,0.0035
48,0.00418,0.00121,0.01485,0.00364
49,0.0043,0.00126,0.01408,0.00355
50,0.00412,0.0012,0.01517,0.00367
51,0.00397,0.00115,0.01496,0.00364
52,0.00391,0.00114,0.01529,0.00374
53,0.00367,0.00106,0.01811,0.00401
54,0.00375,0.00109,0.01593,0.00382
55,0.00362,0.00105,0.01514,0.00362
56,0.00357,0.00104,0.01794,0.00434
57,0.00363,0.00106,0.01565,0.00373
58,0.00346,0.00101,0.01586,0.00373
59,0.00304,0.00088,0.01579,0.00365
60,0.003,0.00087,0.01646,0.00381
61,0.00302,0.00088,0.01636,0.00363
62,0.00301,0.00087,0.01675,0.00378
63,0.00284,0.00082,0.01842,0.00393
64,0.00288,0.00083,0.01885,0.0039
65,0.003,0.00088,0.01947,0.00404
