Epoch,loss,mse,val_loss,val_mse
0,0.25729,0.0605,0.30679,0.07066
1,0.08126,0.01053,0.14064,0.02202
2,0.0466,0.00633,0.08409,0.0144
3,0.03297,0.00504,0.06846,0.01332
4,0.02628,0.00455,0.06431,0.01291
5,0.02238,0.00427,0.04292,0.00891
6,0.01911,0.00384,0.03549,0.00762
7,0.01696,0.00359,0.03688,0.00797
8,0.01534,0.0034,0.02641,0.00588
9,0.01406,0.00319,0.02428,0.00558
10,0.01291,0.00301,0.01981,0.0047
11,0.01217,0.00291,0.02197,0.00518
12,0.01178,0.00289,0.01809,0.00449
13,0.01147,0.00287,0.01552,0.00417
14,0.01081,0.00275,0.01828,0.00446
15,0.00951,0.00243,0.01598,0.0043
16,0.00919,0.00238,0.01485,0.00397
17,0.00952,0.00251,0.0191,0.00437
18,0.00879,0.00233,0.01757,0.00418
19,0.00872,0.00235,0.01902,0.0044
20,0.00821,0.00221,0.01633,0.00401
21,0.00768,0.00208,0.01447,0.0037
22,0.00763,0.00209,0.01506,0.004
23,0.00803,0.00222,0.01512,0.00407
24,0.00779,0.00214,0.01536,0.00402
25,0.00717,0.00199,0.01488,0.00413
26,0.00687,0.00191,0.01889,0.00436
27,0.00645,0.0018,0.01474,0.00374
28,0.0061,0.0017,0.01807,0.00411
29,0.00579,0.00162,0.01793,0.00414
30,0.00557,0.00156,0.01769,0.00408
31,0.00533,0.0015,0.01767,0.00396
32,0.005,0.0014,0.01662,0.00392
33,0.00513,0.00145,0.01922,0.0042
34,0.00498,0.0014,0.01784,0.00405
35,0.0049,0.00139,0.01609,0.00388
36,0.00449,0.00127,0.0149,0.00365
37,0.00446,0.00126,0.0176,0.0041
38,0.00411,0.00115,0.01679,0.00386
39,0.00415,0.00118,0.01728,0.00392
40,0.00398,0.00113,0.02057,0.00414
41,0.00416,0.00119,0.02019,0.00414
42,0.0041,0.00117,0.01796,0.0041
43,0.00433,0.00124,0.01771,0.00397
44,0.00389,0.00111,0.02783,0.00507
45,0.00374,0.00107,0.02068,0.00427
46,0.00364,0.00104,0.02226,0.00425
47,0.0036,0.00103,0.01867,0.00397
48,0.00321,0.00091,0.01795,0.00387
49,0.00289,0.00081,0.02018,0.00412
50,0.00279,0.00078,0.01865,0.00391
51,0.00287,0.00081,0.01884,0.00389
