Epoch,loss,mse,val_loss,val_mse
0,0.45182,0.13595,0.43682,0.12608
1,0.14921,0.02314,0.18619,0.03103
2,0.06836,0.00733,0.09681,0.0127
3,0.04179,0.00453,0.0633,0.00905
4,0.03036,0.00371,0.05223,0.00833
5,0.02409,0.00332,0.0453,0.00769
6,0.01986,0.00302,0.04103,0.00728
7,0.01688,0.00275,0.03569,0.00652
8,0.0157,0.00285,0.03041,0.00579
9,0.0135,0.00252,0.02426,0.00476
10,0.01237,0.00241,0.02136,0.00424
11,0.01112,0.00225,0.02074,0.00421
12,0.01094,0.00232,0.0158,0.00342
13,0.00989,0.00214,0.0135,0.00299
14,0.01035,0.00238,0.01091,0.00257
15,0.00899,0.00205,0.01213,0.00287
16,0.00822,0.00189,0.01076,0.00258
17,0.00769,0.00181,0.00914,0.00224
18,0.00708,0.00167,0.00853,0.00212
19,0.00688,0.00166,0.01102,0.00292
20,0.00657,0.0016,0.00841,0.0021
21,0.00595,0.00145,0.00868,0.00214
22,0.00562,0.00138,0.00896,0.00229
23,0.00571,0.00143,0.00863,0.00218
24,0.00573,0.00146,0.00835,0.0022
25,0.00542,0.00138,0.0079,0.00214
26,0.00484,0.00123,0.00803,0.00202
27,0.00498,0.00128,0.00957,0.00233
28,0.00495,0.0013,0.00836,0.00206
29,0.00437,0.00113,0.00914,0.00226
30,0.00392,0.00101,0.00736,0.0019
31,0.00373,0.00097,0.00917,0.0024
32,0.00407,0.00108,0.00851,0.00208
33,0.00383,0.00101,0.00763,0.00198
34,0.00359,0.00095,0.00776,0.00199
35,0.0034,0.0009,0.00798,0.00201
36,0.00323,0.00085,0.00815,0.00202
37,0.00325,0.00087,0.00832,0.002
38,0.00304,0.00081,0.00886,0.00212
39,0.00308,0.00082,0.008,0.00207
40,0.00294,0.00079,0.00891,0.00208
41,0.00279,0.00074,0.00893,0.00203
42,0.00272,0.00073,0.008,0.00193
43,0.00262,0.00071,0.0083,0.00194
44,0.00241,0.00064,0.00861,0.00195
45,0.00233,0.00062,0.00808,0.00192
46,0.00242,0.00066,0.00895,0.00209
47,0.00254,0.00069,0.00822,0.00192
48,0.00236,0.00065,0.00865,0.00204
49,0.00223,0.00061,0.00835,0.00197
50,0.00213,0.00058,0.00903,0.00204
51,0.00222,0.00061,0.00847,0.00201
52,0.00233,0.00065,0.00935,0.00206
53,0.0022,0.00061,0.00847,0.00191
54,0.00207,0.00057,0.00821,0.00192
55,0.00205,0.00056,0.00971,0.00211
56,0.00192,0.00052,0.00864,0.002
57,0.00188,0.00052,0.00905,0.00206
58,0.00179,0.00049,0.00914,0.00198
59,0.00177,0.00049,0.01002,0.00213
60,0.00224,0.00062,0.00985,0.0021
