Epoch,loss,mse,val_loss,val_mse
0,0.47413,0.13707,12.49286,0.95385
1,0.22458,0.03954,0.35245,0.08853
2,0.14704,0.01845,0.29703,0.06923
3,0.09619,0.0085,0.18271,0.02812
4,0.06708,0.00437,0.12306,0.0133
5,0.05015,0.0026,0.0847,0.00704
6,0.03981,0.00179,0.06742,0.00516
7,0.03308,0.00136,0.05621,0.00426
8,0.02843,0.00111,0.04619,0.00364
9,0.02508,0.00093,0.04129,0.0034
10,0.02266,0.00084,0.03806,0.00328
11,0.02064,0.00076,0.03101,0.00274
12,0.01906,0.00071,0.03101,0.00283
13,0.01774,0.00066,0.02929,0.00264
14,0.01661,0.00059,0.02704,0.00235
15,0.01579,0.00057,0.02611,0.00228
16,0.01509,0.00055,0.02234,0.00172
17,0.01443,0.00052,0.02023,0.00147
18,0.01382,0.00049,0.01869,0.00128
19,0.01339,0.00047,0.01793,0.00121
20,0.01299,0.00046,0.018,0.00121
21,0.01254,0.00042,0.01675,0.00105
22,0.0121,0.00038,0.01415,0.00067
23,0.01179,0.00036,0.01401,0.00067
24,0.01155,0.00036,0.0143,0.00074
25,0.01129,0.00034,0.01291,0.00057
26,0.01131,0.00039,0.0131,0.0006
27,0.01105,0.00036,0.01293,0.00058
28,0.01074,0.00032,0.01261,0.00056
29,0.01051,0.00029,0.01262,0.00057
30,0.01039,0.00029,0.01218,0.00057
31,0.01025,0.00029,0.01206,0.00053
32,0.01016,0.00029,0.01308,0.00068
33,0.0101,0.0003,0.01207,0.00061
34,0.01,0.0003,0.01209,0.00058
35,0.01005,0.00032,0.04457,0.00276
36,0.01019,0.00036,0.01539,0.00111
37,0.01,0.00033,0.01264,0.00073
38,0.00971,0.00028,0.01255,0.00063
39,0.00954,0.00026,0.0118,0.00055
40,0.00943,0.00024,0.01159,0.00054
41,0.00931,0.00023,0.01179,0.00056
42,0.00927,0.00023,0.01211,0.00061
43,0.00923,0.00023,0.01149,0.00055
44,0.00913,0.00022,0.01131,0.00053
45,0.00906,0.00021,0.01159,0.00054
46,0.00899,0.0002,0.01141,0.00052
47,0.00893,0.00019,0.01126,0.00053
48,0.00891,0.0002,0.01124,0.00054
49,0.00887,0.0002,0.01124,0.00053
50,0.00881,0.00019,0.01112,0.00055
51,0.00879,0.00019,0.01124,0.00055
52,0.00872,0.00018,0.01143,0.00053
53,0.00871,0.00018,0.01117,0.00052
54,0.00862,0.00016,0.01125,0.00052
55,0.00859,0.00016,0.01113,0.00058
56,0.0086,0.00017,0.01156,0.00055
57,0.00861,0.00018,0.01106,0.00055
58,0.00856,0.00017,0.01121,0.00053
59,0.00848,0.00015,0.01132,0.00053
60,0.00848,0.00016,0.01127,0.00057
61,0.0085,0.00017,0.01126,0.00051
62,0.00844,0.00016,0.01107,0.00053
63,0.00843,0.00016,0.01136,0.00055
64,0.00842,0.00016,0.01106,0.00053
65,0.00836,0.00015,0.01139,0.00057
66,0.00834,0.00014,0.01101,0.00053
67,0.00829,0.00014,0.0113,0.00054
68,0.00827,0.00013,0.01107,0.00052
69,0.00822,0.00013,0.01103,0.00052
70,0.00822,0.00013,0.01136,0.00053
71,0.0082,0.00012,0.01091,0.00051
72,0.0082,0.00013,0.0111,0.00055
73,0.00818,0.00012,0.01103,0.00051
74,0.00822,0.00013,0.01103,0.00052
75,0.0082,0.00014,0.01099,0.00052
76,0.00816,0.00013,0.01105,0.00056
77,0.00815,0.00013,0.01098,0.00051
78,0.00814,0.00013,0.01119,0.00055
79,0.00808,0.00011,0.01086,0.0005
80,0.00809,0.00012,0.01086,0.0005
81,0.00807,0.00011,0.01112,0.00051
82,0.00806,0.00012,0.0109,0.00048
83,0.00805,0.00011,0.01089,0.00051
84,0.008,0.0001,0.01085,0.0005
85,0.00798,0.0001,0.01121,0.00051
86,0.008,0.00011,0.01133,0.00054
87,0.00801,0.00011,0.01113,0.00052
88,0.008,0.00011,0.01133,0.00052
89,0.00798,0.0001,0.01109,0.00052
90,0.00796,0.0001,0.01111,0.00054
91,0.00794,0.0001,0.01096,0.00051
92,0.00793,0.0001,0.01097,0.00054
93,0.00792,0.0001,0.01089,0.0005
94,0.00791,9e-05,0.01093,0.00052
95,0.00793,0.0001,0.01103,0.0005
96,0.00797,0.00011,0.01131,0.00059
97,0.00795,0.00011,0.01085,0.00054
98,0.00791,0.0001,0.01103,0.00052
99,0.00789,9e-05,0.01123,0.00053
100,0.00787,9e-05,0.01087,0.00049
101,0.00786,9e-05,0.01102,0.00051
102,0.00786,9e-05,0.01091,0.00053
103,0.00784,9e-05,0.01111,0.00051
104,0.00784,9e-05,0.01108,0.00048
105,0.00783,9e-05,0.01131,0.00051
106,0.00785,9e-05,0.01148,0.00061
107,0.00788,0.0001,0.01086,0.00054
108,0.00789,0.0001,0.01114,0.00051
109,0.00787,0.0001,0.01093,0.00054
110,0.00785,9e-05,0.01099,0.00049
111,0.00784,9e-05,0.01106,0.00053
112,0.00781,9e-05,0.01117,0.0005
113,0.0078,8e-05,0.011,0.00051
114,0.00783,9e-05,0.01085,0.00054
115,0.00782,9e-05,0.01134,0.0005
116,0.00778,8e-05,0.01096,0.00052
117,0.00777,8e-05,0.01098,0.00049
118,0.00775,8e-05,0.01084,0.00049
119,0.00774,7e-05,0.01124,0.0005
120,0.00778,8e-05,0.01134,0.0005
121,0.00779,9e-05,0.01134,0.00055
122,0.00776,8e-05,0.01102,0.00054
123,0.00774,8e-05,0.01134,0.00052
124,0.00777,9e-05,0.01097,0.00056
125,0.00775,8e-05,0.01113,0.00049
126,0.00774,8e-05,0.01109,0.00053
127,0.00775,8e-05,0.01099,0.0005
128,0.00773,8e-05,0.01141,0.00051
129,0.00773,8e-05,0.01115,0.00054
130,0.00785,0.00011,0.01173,0.00057
131,0.0078,9e-05,0.01128,0.00053
132,0.00774,8e-05,0.01135,0.00055
133,0.00772,8e-05,0.01105,0.00056
134,0.00773,8e-05,0.01161,0.00051
135,0.0077,7e-05,0.01112,0.00049
136,0.00769,7e-05,0.01136,0.00052
137,0.00768,7e-05,0.01124,0.00049
138,0.00769,7e-05,0.01117,0.0005
139,0.00773,8e-05,0.01106,0.00057
140,0.00774,9e-05,0.01105,0.00053
141,0.0077,8e-05,0.01111,0.00053
142,0.0077,7e-05,0.0112,0.00052
143,0.00769,7e-05,0.01116,0.00051
144,0.00769,7e-05,0.01127,0.00052
145,0.00769,7e-05,0.01118,0.0005
146,0.00765,7e-05,0.01119,0.00049
147,0.00765,7e-05,0.01103,0.00055
148,0.00766,7e-05,0.01115,0.00048
149,0.00763,6e-05,0.01131,0.00052
150,0.00764,6e-05,0.01117,0.00049
151,0.00764,6e-05,0.01131,0.00052
152,0.00763,6e-05,0.01136,0.00049
153,0.00763,6e-05,0.01162,0.00051
154,0.00762,6e-05,0.01139,0.0005
155,0.00761,6e-05,0.0112,0.00051
156,0.00762,6e-05,0.01155,0.00052
157,0.00762,6e-05,0.01182,0.00049
158,0.00762,6e-05,0.01144,0.00051
159,0.00762,6e-05,0.01138,0.00054
160,0.0076,6e-05,0.01131,0.00052
161,0.0076,6e-05,0.0115,0.00053
162,0.00761,6e-05,0.01158,0.00052
163,0.0076,6e-05,0.0115,0.00052
164,0.0076,6e-05,0.01169,0.00051
165,0.0076,6e-05,0.01148,0.0005
166,0.00759,6e-05,0.01143,0.00052
167,0.00761,6e-05,0.01123,0.00058
168,0.00793,0.00013,0.01266,0.00067
